"","lpep_pickup_datetime","lpep_dropoff_datetime","PULocationID","DOLocationID","passenger_count","trip_distance","fare_amount","extra","tip_amount","total_amount","payment_type"
"274532","2017-01-09 09:03:28","2017-01-09 09:09:43",40,25,1,0.93,6,0,2.04,8.84,1
"592687","2017-01-18 17:38:27","2017-01-18 17:46:44",75,263,1,0.9,7,1,0,8.8,2
"74424","2017-01-03 10:03:47","2017-01-03 10:11:38",7,179,1,1.2,7.5,0,0,8.3,2
"600138","2017-01-18 20:11:55","2017-01-18 20:27:47",166,243,1,4.08,15,0.5,2.44,18.74,1
"639388","2017-01-19 23:05:29","2017-01-19 23:22:41",116,18,1,5.2,17.5,0.5,0,18.8,2
"738829","2017-01-22 15:22:38","2017-01-22 15:24:47",75,74,1,0.94,4.5,0,0,5.3,2
"478716","2017-01-14 23:22:57","2017-01-14 23:34:07",255,148,1,2.74,11,0.5,2.46,14.76,1
"482289","2017-01-15 01:41:31","2017-01-15 01:50:12",256,80,1,1.83,8.5,0.5,1.96,11.76,1
"871312","2017-01-26 16:12:25","2017-01-26 16:17:56",7,146,1,0.8,5.5,1,0,7.3,2
"18398","2017-01-01 04:10:51","2017-01-01 04:24:13",226,157,1,2.9,12,0.5,0,13.3,2
"970729","2017-01-28 23:01:26","2017-01-28 23:28:49",256,231,2,3.03,18,0.5,5.79,25.09,1
"504881","2017-01-15 18:14:27","2017-01-15 18:22:20",166,42,1,1.53,7.5,0,0,8.3,2
"104951","2017-01-04 11:12:29","2017-01-04 11:29:34",74,174,1,8.98,25.5,0,0,26.3,1
"699085","2017-01-21 15:18:29","2017-01-21 15:25:22",129,83,2,1.21,6.5,0,0,7.3,2
"532855","2017-01-16 18:21:26","2017-01-16 18:32:18",192,95,1,3.33,12,0,0,12.8,2
"557439","2017-01-17 16:56:18","2017-01-17 17:00:36",95,95,1,0.9,5,1,0,6.8,2
"539611","2017-01-16 22:38:04","2017-01-16 22:45:58",82,129,1,1,7,0.5,0,8.3,2
"216006","2017-01-07 11:10:22","2017-01-07 11:29:55",41,236,1,3.3,15,0,3.15,18.95,1
"680659","2017-01-21 01:45:05","2017-01-21 01:53:58",75,42,1,2.4,9,0.5,0,10.3,2
"760128","2017-01-23 09:54:06","2017-01-23 09:59:54",41,42,2,1.36,7,0,1.56,9.36,1
"941029","2017-01-28 09:15:02","2017-01-28 09:38:35",82,43,1,5.12,20,0,0,20.8,2
"453610","2017-01-14 12:39:36","2017-01-14 12:44:56",74,42,1,0.6,5.5,0,1.25,7.55,1
"936720","2017-01-28 03:37:40","2017-01-28 03:47:00",61,61,1,1.9,9,0.5,2.05,12.35,1
"643599","2017-01-20 06:52:01","2017-01-20 07:00:25",116,69,2,1.34,8,0,0,8.8,2
"544631","2017-01-17 08:51:09","2017-01-17 08:53:13",75,74,1,0.8,4.5,0,1.06,6.36,1
"686950","2017-01-21 05:42:31","2017-01-21 05:54:57",112,223,1,4.2,14,0.5,0,15.3,2
"683115","2017-01-21 02:51:41","2017-01-21 03:29:11",61,166,1,21.4,60,0.5,0,61.3,2
"264548","2017-01-08 22:33:05","2017-01-08 22:35:20",255,256,6,0.44,3.5,0.5,0.96,5.76,1
"773085","2017-01-23 17:46:53","2017-01-23 17:59:28",130,10,1,2.14,10.5,1,2.46,14.76,1
"145351","2017-01-05 15:54:39","2017-01-05 16:09:52",66,106,2,2.48,12,0,3.84,16.64,1
"346510","2017-01-11 16:17:36","2017-01-11 16:34:36",260,260,1,1.89,12.5,1,3.58,17.88,1
"449814","2017-01-14 10:42:12","2017-01-14 10:57:12",40,66,1,2.29,11,0,2.36,14.16,1
"201251","2017-01-06 23:40:30","2017-01-06 23:45:09",255,256,2,1,5.5,0.5,2,8.8,1
"637377","2017-01-19 22:02:49","2017-01-19 22:06:50",82,260,1,0.95,5.5,0.5,0,6.8,2
"27085","2017-01-01 14:29:25","2017-01-01 14:42:59",82,56,1,2.17,10.5,0,2.26,13.56,1
"603392","2017-01-18 22:37:18","2017-01-18 22:39:46",7,179,1,0.7,4.5,0.5,0,5.8,2
"333645","2017-01-11 07:35:30","2017-01-11 07:51:07",145,170,1,2.9,13,0,2.5,21.84,1
"357196","2017-01-11 21:01:18","2017-01-11 21:05:56",181,181,1,0.5,5,0.5,0,6.3,2
"538439","2017-01-16 21:55:22","2017-01-16 22:08:44",97,61,1,2.8,12,0.5,0,13.3,2
"989804","2017-01-29 13:31:16","2017-01-29 13:43:54",213,47,1,4.48,12,0,0,12,2
"402822","2017-01-13 09:17:20","2017-01-13 09:22:40",41,152,1,0.59,5,0,0,5.8,1
"566986","2017-01-17 19:27:28","2017-01-17 19:32:48",181,181,1,0.6,5,0.5,0,6.3,2
"856720","2017-01-26 08:14:23","2017-01-26 08:18:46",69,159,1,1.03,5.5,0,0,6.3,1
"789807","2017-01-24 07:01:02","2017-01-24 07:21:02",145,186,2,2.81,14,0,4.07,26.36,1
"770069","2017-01-23 16:05:42","2017-01-23 16:47:34",92,137,1,10.78,36.5,1,5,43.3,1
"621283","2017-01-19 15:48:37","2017-01-19 15:55:42",181,106,1,0.85,6.5,0,1.46,8.76,1
"753068","2017-01-23 00:56:32","2017-01-23 01:12:18",256,198,1,4.08,15,0.5,0,16.3,2
"915809","2017-01-27 19:05:43","2017-01-27 19:55:40",220,78,1,11.77,35.5,1,0,37.3,2
"165389","2017-01-06 03:32:41","2017-01-06 03:40:55",36,36,1,1.29,7,0.5,1.66,9.96,1
"38858","2017-01-01 22:50:54","2017-01-01 23:18:04",223,228,1,14.46,40.5,0.5,0,41.8,2
"150061","2017-01-05 17:44:01","2017-01-05 18:01:58",82,56,3,1.3,12.5,1,0,14.3,2
"869871","2017-01-26 16:38:27","2017-01-26 16:43:42",82,82,1,0.74,5,1,0,6.8,2
"559116","2017-01-17 17:39:37","2017-01-17 17:42:10",255,256,5,0.52,4,1,1.16,6.96,1
"1045216","2017-01-31 09:19:01","2017-01-31 09:33:51",127,152,1,4.46,16,0,2.5,19.3,1
"172393","2017-01-06 10:46:49","2017-01-06 10:50:52",49,97,1,0.9,5,0,0,5.8,2
"62746","2017-01-02 21:28:22","2017-01-02 21:43:11",42,74,1,2.15,12,0.5,0,13.3,1
"554195","2017-01-17 14:21:54","2017-01-17 14:34:56",43,143,1,2.39,11,0,2.95,14.75,1
"399586","2017-01-13 06:42:03","2017-01-13 06:49:05",116,42,1,1.1,6.5,0,0,7.3,2
"215552","2017-01-07 11:57:47","2017-01-07 12:00:13",129,83,1,0.42,3.5,0,0,4.3,2
"914216","2017-01-27 18:35:10","2017-01-27 18:51:14",97,225,1,2.7,12.5,0.5,0,13.8,2
"93792","2017-01-03 21:38:32","2017-01-03 21:45:50",112,256,1,1.4,7.5,0.5,1.76,10.56,1
"530067","2017-01-16 16:06:21","2017-01-16 16:15:31",134,135,1,2.04,9,1,0,10.8,2
"547863","2017-01-17 09:06:13","2017-01-17 09:15:23",196,82,1,2.1,9,0,0,9.8,2
"848236","2017-01-25 21:20:35","2017-01-25 21:31:24",223,226,1,4.44,14.5,0.5,0,15.8,2
"562535","2017-01-17 18:23:59","2017-01-17 18:33:25",260,129,1,1.54,8.5,1,2.06,12.36,1
"416655","2017-01-13 17:25:09","2017-01-13 17:31:08",75,236,6,0.87,6,1,0,7.8,2
"965258","2017-01-28 21:45:02","2017-01-28 21:51:46",17,189,2,1.12,6.5,0.5,1.56,9.36,1
"130842","2017-01-05 04:45:24","2017-01-05 05:03:59",25,162,1,7.2,23,0.5,4.86,29.16,1
"1008902","2017-01-30 00:07:15","2017-01-30 00:11:05",217,17,1,0.67,4.5,0.5,0.5,6.3,1
"333439","2017-01-11 07:24:37","2017-01-11 07:32:08",75,75,1,0.91,6.5,0,0,7.3,2
"367213","2017-01-12 08:13:44","2017-01-12 08:21:55",74,41,2,1.13,7,0,1.56,9.36,1
"389537","2017-01-12 20:19:26","2017-01-12 20:26:03",95,196,1,1.32,6.5,0.5,0,7.8,2
"30818","2017-01-01 16:31:50","2017-01-01 16:47:52",74,239,1,3.4,14,0,0,14.8,2
"419613","2017-01-13 18:52:15","2017-01-13 19:10:33",41,42,6,1.44,12,1,0,13.8,2
"831603","2017-01-25 13:45:16","2017-01-25 13:51:49",75,236,1,1.31,6.5,0,0,7.3,1
"590752","2017-01-18 16:07:20","2017-01-18 16:27:56",25,17,1,3.38,16,1,0,17.8,2
"212071","2017-01-07 09:10:26","2017-01-07 09:15:25",223,7,1,0.96,5.5,0,1.58,7.88,1
"573918","2017-01-18 00:34:20","2017-01-18 00:41:04",181,257,1,2.34,9,0.5,0,10.3,2
"622346","2017-01-19 16:53:11","2017-01-19 17:24:22",130,265,2,10.29,35,1,0,36.8,2
"918355","2017-01-27 20:57:25","2017-01-27 21:07:25",75,166,1,2.41,10,0.5,2.26,13.56,1
"631101","2017-01-19 19:29:54","2017-01-19 19:35:31",260,129,1,1.06,6,1,1.95,9.75,1
"810614","2017-01-24 19:54:46","2017-01-24 20:00:30",82,56,1,0.81,5.5,1,0,7.3,1
"1024063","2017-01-30 15:52:48","2017-01-30 16:21:59",33,62,2,4.2,20,0,1,21.8,1
"1031484","2017-01-30 19:33:35","2017-01-30 19:33:48",265,265,4,0,80,0,55,135,1
"725186","2017-01-22 02:56:35","2017-01-22 03:08:43",255,36,4,2.5,10.5,0.5,0,11.8,2
"444285","2017-01-14 03:18:34","2017-01-14 03:42:09",255,75,1,8.4,27,0.5,5.65,33.95,1
"394145","2017-01-12 23:17:11","2017-01-12 23:43:14",255,181,1,5.44,21,0.5,0,22.3,2
"199545","2017-01-06 23:15:20","2017-01-06 23:22:39",256,232,1,1.88,8.5,0.5,2.45,12.25,1
"910602","2017-01-27 17:22:27","2017-01-27 17:29:16",97,97,1,1.29,7,1,0,8.8,2
"885191","2017-01-26 22:29:49","2017-01-26 22:33:09",255,256,1,0.71,4.5,0.5,1.16,6.96,1
"31962","2017-01-01 17:15:20","2017-01-01 17:17:21",41,41,1,0.5,3.5,0,0,4.3,2
"483878","2017-01-15 01:00:42","2017-01-15 01:11:40",82,226,3,1.9,9,0.5,2.05,12.35,1
"167126","2017-01-06 07:52:53","2017-01-06 07:58:23",82,82,1,0.78,5.5,0,0,6.3,2
"305954","2017-01-10 09:26:09","2017-01-10 09:37:25",41,238,1,1.82,9,0,0,9.8,1
"351439","2017-01-11 18:05:31","2017-01-11 18:13:10",41,41,1,0.53,6.5,1,0,8.3,1
"745187","2017-01-22 18:32:51","2017-01-22 18:42:11",49,17,1,1.67,8.5,0,1.86,11.16,1
"406874","2017-01-13 11:37:13","2017-01-13 11:41:30",210,210,1,0.84,5,0,1.16,6.96,1
"411013","2017-01-13 14:00:09","2017-01-13 14:11:50",42,74,1,1.82,10,0,0,10.8,2
"747401","2017-01-22 20:09:42","2017-01-22 20:15:34",129,260,1,0.9,6,0.5,0,7.3,2
"630586","2017-01-19 19:29:10","2017-01-19 19:56:47",74,41,1,5.74,17,1,0,18.8,2
"102653","2017-01-04 09:57:23","2017-01-04 10:02:21",33,65,1,0.47,5,0,0,5.8,2
"245221","2017-01-08 12:37:46","2017-01-08 12:47:59",181,190,1,1.57,8.5,0,0,9.3,1
"257614","2017-01-08 18:52:34","2017-01-08 18:58:10",75,238,1,1.39,6.5,0,1.46,8.76,1
"697427","2017-01-21 14:13:29","2017-01-21 14:20:25",75,74,2,1.53,7,0,0,7.8,2
"876720","2017-01-26 19:58:28","2017-01-26 20:14:46",95,180,1,3.38,14.5,1,0,16.3,2
"1033276","2017-01-30 20:56:43","2017-01-30 21:03:37",74,41,1,1.28,7,0.5,0,8.3,2
"847521","2017-01-25 21:19:34","2017-01-25 21:24:45",95,95,1,1.03,6,0.5,0,7.3,2
"329738","2017-01-10 23:25:53","2017-01-10 23:30:48",130,10,1,1.66,6.5,0.5,1.2,9,1
"932519","2017-01-28 01:44:10","2017-01-28 01:49:37",181,181,1,1.18,6,0.5,1.46,8.76,1
"34236","2017-01-01 19:08:15","2017-01-01 19:11:29",181,106,1,0.81,5,0,1.74,7.54,1
"722996","2017-01-22 01:51:35","2017-01-22 02:02:03",37,225,1,1.99,8.5,0.5,0,9.8,2
"965588","2017-01-28 21:34:36","2017-01-28 21:46:34",10,180,1,3.3,12.5,0.5,0,13.8,2
"371475","2017-01-12 11:08:05","2017-01-12 11:10:13",41,42,1,0.61,7,0,0,7,2
"855320","2017-01-26 07:23:30","2017-01-26 07:35:15",74,75,1,1.55,9,0,1,10.8,1
"805252","2017-01-24 16:39:02","2017-01-24 16:42:25",97,97,1,0.5,4,1,0,5.8,2
"359283","2017-01-11 22:55:33","2017-01-11 23:01:00",33,65,1,0.68,5.5,0.5,2.2,9,1
"572939","2017-01-17 23:57:14","2017-01-18 00:05:18",181,89,1,2.09,9,0.5,2.06,12.36,1
"879668","2017-01-26 20:37:14","2017-01-26 20:43:49",255,112,6,0.86,6,0.5,1.46,8.76,1
"1018780","2017-01-30 11:12:07","2017-01-30 11:14:07",255,112,1,0.7,4,0,0,4.8,2
"247920","2017-01-08 14:00:11","2017-01-08 14:09:13",82,70,1,3.27,11.5,0,0,12.3,2
"409733","2017-01-13 13:33:34","2017-01-13 13:53:00",95,102,1,2.71,14.5,0,0,15.3,2
"748911","2017-01-22 21:06:40","2017-01-22 21:17:58",75,233,1,3.2,11.5,0.5,0,12.8,2
"455456","2017-01-14 13:32:36","2017-01-14 13:52:27",74,47,1,4,16,0,0,16.8,2
"784730","2017-01-23 22:41:37","2017-01-23 22:46:16",97,52,1,1.07,5.5,0.5,2.04,8.84,1
"981385","2017-01-29 03:08:42","2017-01-29 03:27:22",255,188,1,4.81,16.5,0.5,5.34,23.14,1
"569224","2017-01-17 20:36:56","2017-01-17 20:45:16",37,80,1,1.5,8,0.5,0,9.3,2
"670305","2017-01-20 20:22:48","2017-01-20 20:36:43",181,225,1,2.87,12,0.5,0,15.25,1
"622154","2017-01-19 16:01:14","2017-01-19 16:23:50",168,212,1,4.64,17,0,0,17.8,2
"277619","2017-01-09 11:16:01","2017-01-09 11:24:33",35,72,1,1.54,8,0,0,10.75,1
"806654","2017-01-24 17:24:19","2017-01-24 17:30:02",65,33,1,0.89,5.5,1,0,7.3,2
"368989","2017-01-12 09:07:07","2017-01-12 09:14:30",41,166,1,0.76,6.5,0,1.46,8.76,1
"420637","2017-01-13 18:47:46","2017-01-13 19:08:34",75,127,1,5.98,20,1,0,21.8,2
"326092","2017-01-10 21:10:02","2017-01-10 21:16:42",260,157,1,1,6.5,0.5,2.2,10,1
"1009081","2017-01-30 00:14:06","2017-01-30 00:39:08",181,186,1,6.9,23.5,0.5,4.95,29.75,1
"291328","2017-01-09 19:31:53","2017-01-09 19:41:09",226,157,1,1.93,8.5,1,0,10.3,2
"1017646","2017-01-30 11:17:52","2017-01-30 11:46:46",129,61,1,7.39,25.5,0,0,26.3,2
"574812","2017-01-18 01:07:58","2017-01-18 01:15:13",129,173,6,1.68,8,0.5,0,9.3,1
"816933","2017-01-24 21:43:42","2017-01-24 21:54:49",181,188,1,1.9,10,0.5,2.25,13.55,1
"951563","2017-01-28 15:45:41","2017-01-28 15:51:13",260,7,1,1.43,6.5,0,0,7.3,2
"1034175","2017-01-30 20:08:08","2017-01-30 20:13:03",74,41,1,1,5.5,0.5,0,6.8,2
"317999","2017-01-10 17:04:35","2017-01-10 17:29:51",97,188,1,2.18,16,1,3.56,21.36,1
"822892","2017-01-25 07:30:11","2017-01-25 07:50:37",189,114,1,3.74,16.5,0,3.46,20.76,1
"873569","2017-01-26 17:38:42","2017-01-26 18:12:29",145,138,3,8.2,27,1,5.75,34.55,1
"332630","2017-01-11 06:28:02","2017-01-11 06:42:55",42,263,1,3.38,13.5,0,0,14.3,2
"1003833","2017-01-29 20:28:59","2017-01-29 20:51:06",145,249,1,4.43,17,0.5,0,23.84,2
"240674","2017-01-08 08:42:26","2017-01-08 08:55:25",66,255,1,4.08,14,0,0,14.8,2
"543074","2017-01-17 07:56:17","2017-01-17 08:03:08",244,166,1,2.36,9,0,1.96,13.71,1
"974232","2017-01-29 00:14:20","2017-01-29 00:16:16",65,97,1,0.56,4,0.5,1.06,6.36,1
"570798","2017-01-17 21:18:19","2017-01-17 21:33:09",33,89,1,5.02,17,0.5,3.66,21.96,1
"410340","2017-01-13 14:25:44","2017-01-13 14:38:03",166,74,1,1.65,9.5,0,0,10.3,1
"759750","2017-01-23 09:58:45","2017-01-23 09:59:40",7,7,1,0.15,3,0,0,3.8,1
"567671","2017-01-17 20:16:08","2017-01-17 20:30:52",112,129,1,4.75,16,0.5,3.46,20.76,1
"442762","2017-01-14 02:23:42","2017-01-14 02:26:38",7,7,1,0.6,4.5,0.5,0,5.8,2
"625730","2017-01-19 17:23:01","2017-01-19 17:27:19",95,95,1,0.87,5,1,0,6.8,2
"575472","2017-01-18 04:01:56","2017-01-18 04:06:12",74,41,1,1.11,5.5,0.5,1.36,8.16,1
"84326","2017-01-03 16:53:19","2017-01-04 16:43:01",166,263,1,2.95,13.5,1,3.06,18.36,1
"936498","2017-01-28 03:51:33","2017-01-28 04:04:01",255,36,1,2.69,11.5,0.5,3.84,16.64,1
"838501","2017-01-25 17:11:46","2017-01-25 17:19:03",226,226,1,1.11,7,1,0,8.8,2
"317374","2017-01-10 16:07:20","2017-01-10 16:25:10",181,49,1,2.6,13.5,1,0,15.3,2
"848884","2017-01-25 21:10:33","2017-01-25 21:21:10",181,61,1,1.7,9,0.5,1,11.3,1
"439653","2017-01-14 01:57:33","2017-01-14 02:18:41",255,188,1,5.5,19,0.5,0,20.3,2
"861291","2017-01-26 10:06:17","2017-01-26 10:10:33",7,7,1,0.73,5,0,0,5.8,1
"715131","2017-01-21 22:16:50","2017-01-21 22:23:16",82,260,1,0.85,6,0.5,0,7.3,2
"29010","2017-01-01 15:10:15","2017-01-01 15:54:13",92,125,1,14.3,45.5,0,0,46.3,1
"300607","2017-01-10 02:35:43","2017-01-10 02:41:57",92,171,1,1.29,6.5,0.5,0,7.8,2
"468094","2017-01-14 19:16:08","2017-01-15 18:27:01",7,82,1,3.03,11.5,0.5,0,12.8,2
"323468","2017-01-10 19:06:03","2017-01-10 19:23:06",66,37,1,4.73,17,1,5.64,24.44,1
"920114","2017-01-27 20:55:13","2017-01-27 21:08:50",69,60,1,2.7,11.5,0.5,0,12.8,2
"647712","2017-01-20 09:46:44","2017-01-20 09:57:48",235,18,1,2,9.5,0,4,14.3,1
"146662","2017-01-05 16:24:30","2017-01-05 16:40:25",66,17,2,2.06,12,1,2.76,16.56,1
"767077","2017-01-23 14:23:31","2017-01-23 14:34:12",62,17,1,2.07,9.5,0,0,10.3,2
"558405","2017-01-17 16:03:19","2017-01-17 16:10:02",7,7,2,1.19,10,0,0,10,2
"886694","2017-01-26 23:47:51","2017-01-27 00:00:10",179,57,1,4.65,16,0.5,0,17.3,2
"642571","2017-01-20 03:49:19","2017-01-20 03:49:55",7,7,1,0.9,2.5,0.5,0,3.8,3
"513682","2017-01-15 22:32:51","2017-01-15 22:36:36",181,189,5,0.68,5,0.5,5,11.3,1
"834178","2017-01-25 15:09:03","2017-01-25 15:19:05",82,129,1,0.83,7.5,0,0,8.3,2
"299756","2017-01-10 00:25:10","2017-01-10 00:36:34",17,36,1,2.03,9.5,0.5,0,10.8,2
"351221","2017-01-11 18:39:16","2017-01-11 18:49:00",29,21,1,2.23,10,1,0,11.8,2
"891360","2017-01-27 06:55:18","2017-01-27 07:05:28",49,65,5,1.74,9,0,1.96,13.71,1
"581779","2017-01-18 10:46:17","2017-01-18 11:08:08",134,9,1,5.48,19.5,0,0,20.3,2
"4035","2017-01-01 00:03:27","2017-01-01 00:20:58",41,167,4,5.2,18.5,0.5,0,19.8,2
"767919","2017-01-23 15:54:49","2017-01-23 16:04:26",127,244,1,2.94,11.5,0,2.46,14.76,1
"324167","2017-01-10 19:00:52","2017-01-10 19:10:13",97,17,1,1.2,8,1,1,10.8,1
"682434","2017-01-21 02:56:50","2017-01-21 03:21:14",95,145,1,9.32,29.5,0.5,0,30.8,1
"712153","2017-01-21 21:08:01","2017-01-21 21:23:23",7,157,1,4.8,16.5,0.5,0,17.8,2
"509135","2017-01-15 20:32:25","2017-01-15 20:37:53",25,52,1,1.26,6,0.5,1.46,8.76,1
"371539","2017-01-12 11:58:01","2017-01-12 12:06:01",7,7,1,0.99,6.5,0,2.19,9.49,1
"913046","2017-01-27 18:31:04","2017-01-27 18:35:42",134,134,1,0.8,5,1,1.36,8.16,1
"665668","2017-01-20 18:46:04","2017-01-20 18:59:32",66,112,1,4.75,16,1,3.56,21.36,1
"159639","2017-01-05 21:54:16","2017-01-05 22:07:17",33,114,1,3.22,12.5,0.5,2.76,16.56,1
"55979","2017-01-02 17:17:43","2017-01-02 17:36:04",65,62,1,3.94,15,0,0,15.8,2
"707909","2017-01-21 19:58:32","2017-01-21 20:02:01",33,66,1,0.59,4,0,0,4.8,2
"1053012","2017-01-31 14:18:29","2017-01-31 14:40:37",181,181,1,1.25,14.5,0,0,15.3,2
"356323","2017-01-11 20:58:14","2017-01-11 21:07:19",97,33,1,1.5,8,0.5,0,9.3,2
"531361","2017-01-16 17:00:38","2017-01-16 17:18:02",74,243,1,5.41,18.5,0,0,19.3,2
"682586","2017-01-21 02:05:14","2017-01-21 02:10:58",181,181,1,0.99,6,0.5,0,7.3,2
"707551","2017-01-21 19:56:39","2017-01-21 20:01:02",166,152,1,0.69,5,0,0,5.8,2
"694373","2017-01-21 12:52:01","2017-01-21 13:11:30",74,142,1,3.95,16,0,0,16.8,2
"190226","2017-01-06 19:54:56","2017-01-06 20:03:01",95,95,1,0.87,7,1,1.76,10.56,1
"272741","2017-01-09 08:50:40","2017-01-09 09:02:30",226,145,1,1.9,9.5,0,0,10.3,2
"225757","2017-01-07 18:47:23","2017-01-07 19:31:48",41,48,1,4.86,25,0,0,25.8,2
"454437","2017-01-14 13:06:35","2017-01-14 13:17:36",242,213,2,3.42,12.5,0,0,15.25,1
"503367","2017-01-15 17:14:09","2017-01-15 17:19:18",129,173,1,0.98,5.5,0,0,6.3,2
"944731","2017-01-28 11:11:46","2017-01-28 11:26:24",255,37,1,2.4,11.5,0,0,12.3,2
"496634","2017-01-15 13:45:41","2017-01-15 13:57:18",181,33,2,1.8,9.5,0,0,10.3,2
"73040","2017-01-03 10:08:27","2017-01-03 10:16:14",14,228,1,2.61,9.5,0,0,10.3,2
"329848","2017-01-10 23:49:06","2017-01-11 00:03:13",112,82,1,4.99,16.5,0.5,0,17.8,2
"556427","2017-01-17 15:22:26","2017-01-17 15:51:21",145,249,1,4.54,20.5,0,3,29.84,1
"67989","2017-01-03 07:08:54","2017-01-03 07:18:33",52,33,1,1.67,8,0,0,8.8,2
"603566","2017-01-18 22:31:00","2017-01-18 22:35:55",223,223,1,1.08,6,0.5,1,8.3,1
"838666","2017-01-25 17:57:13","2017-01-25 18:05:20",25,181,1,1.23,7,1,0.88,9.68,1
"815188","2017-01-24 20:27:24","2017-01-24 20:34:25",41,41,1,1,6.5,0.5,0,7.8,2
"234018","2017-01-08 00:13:16","2017-01-08 00:28:10",69,78,1,2.65,11.5,0.5,0,12.8,2
"336653","2017-01-11 09:17:40","2017-01-11 09:53:41",166,170,1,6.37,26.5,0,3,30.3,1
"430552","2017-01-13 21:16:28","2017-01-13 21:52:35",52,161,1,8.1,29,0.5,0,30.3,2
"645116","2017-01-20 08:14:12","2017-01-20 08:25:14",74,166,1,1.73,9.5,0,2.06,12.36,1
"863361","2017-01-26 12:41:01","2017-01-26 12:51:35",244,247,1,1.87,9.5,0,0,10.3,2
"855763","2017-01-26 07:48:43","2017-01-26 07:56:33",74,75,1,1.94,8.5,0,0,9.3,1
"416669","2017-01-13 17:58:39","2017-01-13 18:18:48",129,129,1,1.81,12.5,1,0,14.3,2
"161199","2017-01-05 22:06:49","2017-01-05 22:47:58",210,159,1,28.3,75,0.5,0,85.74,2
"624132","2017-01-19 17:13:27","2017-01-19 17:27:51",116,159,1,1.56,10.5,1,1,13.3,1
